ID_Cliente;Nome_Completo;Idade;Sexo;CPF;Estado;Cidade;Região;Tempo_de_Casa;Perfil_Investidor;Patrimonio_Total;Renda_Fixa;Acoes;FIIs;Cripto;ETFs;Tesouro;Valor_Pago_Corretora;Data_Cadastro;Ultimo_Acesso_Plataforma;Ativo
1;Antônio Freitas;55;Outro;02.6.542.351-14;MG;das Neves;noredeste;0.4;Conservador;147557.77;0.47;0.03;0.17;0.0;0.04;0.45;529.84;2021-07-08;2033-06-19;N
2;Srta. Nicole Viana;60;F;41.3.164.752-47;SP;Pereira;Sudeste;13.3;Arrojado;3380687.8;0.01;0.07;0.37;0.03;0.12;0.09;16541.98;2013-01-05;2017-01-19;Sim
3;Bryan da Rosa;69;Outro;64.1.395.376-47;SP;Santos;Sudeste;8.4;Arrojado;6832318.47;0.18;0.44;0.07;0.15;0.4;0.03;51084.66;2011-03-07;2012-02-28;Sim
4;Matheus da Paz;68;N;91.6.697.848-35;AL;das Neves dos Dourados;Nordeste;7.4;Conservador;149252.81;0.38;0.17;0.23;0.04;0.2;0.37;1200.93;2020-11-17;2023-01-24;Não
5;Alexandre da Cruz;37;;93.2.528.809-54;BA;Mendes Paulista;Nordeste;14.6;Arrojado;7757900.2;0.23;0.18;0.06;0.0;0.29;0.07;62805.61;2020-08-30;2031-10-10;
6;Vitor Hugo Mendes;73;;63.8.346.578-32;SP;Carvalho;noredeste;1.9;Moderado;391561.85;0.07;0.03;0.29;0.08;0.2;0.11;2849.79;2013-04-14;2025-05-04;Atv
7;João Gabriel Monteiro;64;;97.3.763.116-10;RJ;Barbosa dos Dourados;Sudeste;1.1;Conservador;118073.43;0.16;0.03;0.25;0.02;0.18;0.11;460.96;2017-02-06;2027-09-18;Não
8;João Miguel Cardoso;46;;10.8.013.267-88;SP;Moreira Verde;Sudeste;6.7;Conservador;134999.54;0.69;0.16;0.14;0.09;0.05;0.05;725.63;2019-10-06;2025-09-25;Sim
9;Srta. Amanda Dias;55;;05.0.097.882-41;RJ;Cardoso de Goiás;Sudeste;10.8;Conservador;76415.65;0.71;0.32;0.18;0.04;0.19;0.13;247.46;2013-11-28;2020-04-15;Sim
10;João Miguel Freitas;31;Outro;34.6.247.510-00;SP;Moreira de da Cruz;Sudeste;6.3;Conservador;119411.99;0.47;0.05;0.36;0.02;0.12;0.12;796.4;2025-05-19;2036-10-30;S
11;Sr. Raul Fogaça;37;M;24.1.182.449-18;RJ;da Cunha;Sudeste;8.1;Conservador;107989.25;0.35;0.14;0.03;0.02;0.06;0.07;477.33;2016-12-08;2014-08-24;Atv
12;Srta. Bruna Rezende;63;N;80.1.128.059-73;SP;Fogaça da Prata;Sudeste;2.0;Moderado;604327.25;0.08;0.02;0.25;0.08;0.01;0.18;5945.6;2019-09-23;2023-01-28;Atv
13;Giovanna Caldeira;73;F;26.0.256.342-03;RJ;Azevedo;Sudeste;13.3;Moderado;919185.19;0.24;0.36;0.08;0.02;0.02;0.17;4826.66;2014-05-17;2028-01-08;Não
14;Dr. Gabriel Campos;43;;50.1.429.401-43;PR;Lopes;Sul;4.9;Moderado;377946.97;0.24;0.12;0.32;0.02;0.0;0.09;3369.33;2024-05-02;2030-04-27;Atv
15;Luna Novaes;78;Outro;95.1.484.656-70;RJ;da Conceição de Ferreira;Sudeste;10.8;Moderado;684967.08;0.15;0.23;0.1;0.07;0.0;0.08;5435.63;2014-04-04;2018-05-27;Sim
16;Vinicius Teixeira;61;F;87.2.148.951-37;MG;Pereira Verde;Sudeste;6.4;Arrojado;9463273.04;0.2;0.37;0.12;0.22;0.0;0.18;62834.98;2013-01-05;2019-12-19;N
17;Sr. Daniel Silva;62;M;16.3.287.083-51;PR;Carvalho de Barros;Sul;10.8;Conservador;30323.44;0.03;0.24;0.31;0.05;0.18;0.49;153.8;2017-06-07;2026-02-13;
18;Davi Lucas da Cruz;46;Outro;34.8.734.714-86;PE;Campos das Flores;Nordeste;13.6;Arrojado;5780186.97;0.17;0.45;0.18;0.33;0.36;0.06;32180.09;2025-04-15;2028-07-31;N
19;Letícia Souza;72;;67.0.546.688-04;SP;Vieira do Sul;Sudeste;3.1;Conservador;28536.44;0.16;0.28;0.03;0.04;0.11;0.35;152.99;2017-02-17;2029-12-15;Sim
20;Srta. Nina Teixeira;59;N;27.2.046.537-26;PR;Mendes do Campo;Sul;0.4;Moderado;223219.86;0.1;0.16;0.07;0.05;0.03;0.14;1150.06;2022-03-19;2034-08-06;Sim
21;Bruna Ramos;57;F;32.7.193.745-12;SP;Ferreira;Sudeste;9.8;Moderado;401817.23;0.02;0.22;0.4;0.03;0.13;0.0;3228.15;2015-08-19;2020-11-25;Sim
22;Luiz Fernando Cavalcanti;33;M;49.1.905.865-90;SP;Santos do Oeste;Sudeste;14.1;Conservador;155780.59;0.11;0.23;0.37;0.06;0.18;0.16;558.73;2019-02-26;2032-02-28;
23;Sr. Marcelo Souza;45;;45.3.147.379-57;SP;Martins;Sudeste;14.5;Moderado;857864.73;0.03;0.25;0.33;0.07;0.09;0.19;3569.28;2013-03-28;2025-01-12;N
24;Carlos Eduardo Moreira;62;N;77.0.143.634-09;MG;Duarte do Norte;Sudeste;14.2;Moderado;345471.89;0.06;0.14;0.35;0.07;0.06;0.16;927.56;2018-12-14;2027-10-17;Não
25;Ana Júlia Cardoso;48;Outro;98.9.413.435-18;MG;Campos de Teixeira;Sudeste;1.8;Moderado;540403.05;0.22;0.28;0.11;0.03;0.02;0.07;3397.47;2014-09-26;2018-08-12;
26;Cauê Ribeiro;78;N;11.6.719.022-03;SP;Ferreira;cntro-oeste;7.0;Conservador;194884.69;0.39;0.05;0.35;0.05;0.17;0.35;1076.49;2023-09-01;2027-07-12;S
27;Lara da Rosa;24;F;34.1.232.812-06;SC;Lima;Sul;14.9;Arrojado;7879991.01;0.18;0.14;0.21;0.18;0.18;0.16;35011.13;2019-08-13;2033-04-08;
28;Milena Moura;32;F;42.1.024.994-72;SP;Silveira de Porto;Sudeste;8.8;Moderado;226111.88;0.09;0.34;0.03;0.02;0.05;0.06;1906.4;2017-06-05;2021-08-03;Atv
